epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,81.8441,0.37694,0.28536,0.44686,0.79301,0,0.99412,1,0.995,0.89584,0.99412,1,0.995,0.84171,0.47933,0.56388,0.43134,0.78505,0,0.0012278,0.0012278,0.0012278
41,83.8316,0.40071,0.33083,0.45002,0.81883,0,0.99368,1,0.995,0.90159,0.99368,1,0.995,0.85939,0.4961,0.57577,0.42144,0.78074,0,0.001208,0.001208,0.001208
42,85.8383,0.3691,0.35412,0.41685,0.79491,0,0.99404,1,0.995,0.89845,0.99404,1,0.995,0.88195,0.50011,0.58977,0.44486,0.77777,0,0.0011882,0.0011882,0.0011882
43,87.8688,0.4069,0.37957,0.43103,0.79802,0,1,0.98583,0.995,0.89501,1,0.98583,0.995,0.85073,0.46555,0.60002,0.5315,0.78348,0,0.0011684,0.0011684,0.0011684
44,89.9159,0.35832,0.33646,0.39774,0.80233,0,0.99348,0.81818,0.96282,0.87212,0.99348,0.81818,0.96282,0.82806,0.50962,0.63032,0.68108,0.80104,0,0.0011486,0.0011486,0.0011486
45,91.8432,0.36869,0.40643,0.40798,0.79307,0,0.99345,0.81818,0.96753,0.86856,0.99345,0.81818,0.96753,0.84217,0.50349,0.6256,0.67055,0.79898,0,0.0011288,0.0011288,0.0011288
46,93.7051,0.36164,0.33836,0.40347,0.79631,0,0.91529,0.98349,0.98,0.869,0.91529,0.98349,0.98,0.84286,0.51396,0.65166,0.57339,0.79387,0,0.001109,0.001109,0.001109
47,95.5347,0.36212,0.29864,0.38836,0.80883,0,0.91629,0.99542,0.9875,0.88241,0.91629,0.99542,0.9875,0.87635,0.53974,0.68864,0.47839,0.79805,0,0.0010892,0.0010892,0.0010892
48,97.5902,0.3662,0.37206,0.38727,0.79231,0,0.90759,1,0.9875,0.8869,0.90759,1,0.9875,0.83775,0.53637,0.78695,0.43331,0.79047,0,0.0010694,0.0010694,0.0010694
49,99.6088,0.37364,0.32526,0.39792,0.78387,0,0.99726,1,0.995,0.90557,0.99726,1,0.995,0.85086,0.49317,0.69822,0.37331,0.78582,0,0.0010496,0.0010496,0.0010496
